param,ess_bulk,ess_tail
alpha[1],1166.3182345872774,1567.967511788097
alpha[0],1284.073156747425,2024.014251243701
alpha[4],1333.5116145828024,2165.2394872230257
alpha[3],1338.2194676158479,1795.741659357486
alpha[2],1426.1971854421556,2322.4964735174967
alpha[5],1464.4188281730742,1878.301339641004
beta_count[42],1765.7503719800286,2400.2707611098576
beta_count[19],1807.601031293821,2121.4829129229483
beta_count[0],1870.0860178590337,2426.9058674119256
beta_count[13],1895.1580849741774,2182.5502130993896
beta_count[37],1928.7076428635858,2207.024477215526
beta_count[3],1946.5997952592536,2193.510884181215
beta_count[5],1980.980718915498,2129.1609377864547
beta_count[4],2003.4582535530749,2219.3986616244792
beta_count[15],2010.6922349613947,1933.6759681693509
beta_count[36],2011.2354967200702,2330.050100068497
beta_count[18],2014.104348471941,2436.332807838121
beta_count[2],2019.7024152506528,2017.7683613415472
beta_count[1],2085.33408222452,1909.334014937968
beta_count[61],2101.1010585895315,2281.0333479232445
beta_count[31],2106.148508684475,2407.682325662407
beta_count[43],2115.275961478906,2088.0108542970133
beta_count[8],2142.6282340661705,2101.8873713906037
beta_count[6],2152.7141609198093,1858.0294992108722
beta_count[21],2164.5782252961694,2138.3005955289323
beta_count[24],2172.670373793447,2584.37875931905
beta_count[27],2213.6171789776226,2113.730768278091
beta_count[38],2218.1470297174815,1893.9750786638049
beta_count[41],2222.792541128852,2042.114266865454
beta_count[14],2242.2148542136993,2176.010433743328
beta_count[16],2252.5449222199886,2255.9060126998215
beta_count[23],2270.5657990726772,2120.4877650240496
beta_count[55],2289.4373421952914,2426.5892669573536
beta_count[44],2303.1877736950614,2294.3362685555203
beta_count[40],2317.3675051225778,1949.7786021043414
beta_count[20],2389.9761179770885,2493.8635160010804
beta_count[32],2422.9923043323242,2278.6866099069957
beta_count[22],2437.153527140254,2185.8560052912258
beta_count[60],2485.976336829779,2149.817371994465
beta_count[34],2504.127514240554,2350.2417984912486
beta_count[28],2513.2485655112787,2035.1775773995157
beta_count[10],2515.3997776573747,2462.479341398642
beta_count[12],2548.2314210036534,2356.4950280095222
beta_count[30],2559.49153528083,2116.969264127334
beta_count[26],2566.471085269011,2240.617148542454
beta_count[47],2569.492081040036,2057.8775346031844
beta_count[49],2595.8832602477587,2465.3415285497645
beta_count[46],2608.627248625865,2142.953560931505
beta_count[7],2617.6233628791924,2161.6231196273284
beta_count[29],2631.3869394874155,2385.374830426798
beta_count[9],2657.392898419406,2262.5717919923077
beta_count[17],2673.2932385759686,2244.7225778388115
beta_count[65],2693.309922468464,1956.8912679817024
beta_count[33],2750.833475468675,2331.654681188544
beta_count[48],2781.9834040172805,2077.3450017674777
beta_count[39],2811.075464506764,2116.2351401494516
beta_count[25],2817.6182087720954,2373.2716184554615
beta_count[11],2866.8985759641273,1942.0021593320546
beta_count[64],2902.3877299123883,1918.5382024258104
beta_count[62],2905.3237547878525,2587.8748395594425
beta_count[56],2985.9030725087805,1964.5303759928865
beta_count[54],2992.9724467286696,2777.8141338434593
beta_count[45],3016.0983323765176,2364.5092132793498
beta_count[63],3125.9326771521205,2394.7862616344187
beta_count[35],3143.399416091198,2435.008141383223
beta_count[50],3232.283168569274,2374.1150760168857
beta_xfip[4],3319.9785949451707,1821.04620818163
beta_count[58],3362.689374876754,2176.854386693495
beta_z_contact[4],3380.7440555670364,2206.5186459062484
beta_count[59],3382.21673744712,2143.337580631512
beta_count[57],3424.6400663941017,2075.4418508702183
beta_count[51],3517.0665990012426,2384.948943250888
beta_z_contact[5],3628.3473315135075,2326.444356669988
beta_count[52],3791.6592672373763,1910.9186703225037
beta_xiso[4],3861.535822800634,2473.6999879858013
beta_xiso[3],3898.9755757867592,2178.8078179589074
beta_o_swing[4],4016.2248080104896,2304.4626238606747
beta_xiso[5],4051.258856368467,2356.7716653090915
beta_count[53],4099.796073048367,2446.4355825911884
beta_z_contact[3],4146.520560631645,2171.8256201444688
beta_o_swing[3],4230.0982478692895,2282.0927895821696
beta_xiso[0],4232.515350922372,2741.459136723282
beta_o_swing[0],4246.694866105003,2510.428352492242
beta_xiso[1],4418.3350935478275,2165.1888218676304
beta_z_contact[0],4489.608426047443,2377.525323352889
beta_o_swing[5],4595.791302169997,2136.105220972625
beta_xfip[3],4596.157334293278,2451.9458823345058
beta_z_contact[2],4646.59685505782,2493.8557777761557
beta_z_contact[1],4993.595071361853,2465.1131085270667
beta_xfip[0],5008.758260222391,2068.8022202558254
beta_xiso[2],5025.39004349193,2330.5936561397193
beta_xfip[5],5040.473488987017,2467.417582773236
beta_o_swing[2],5069.986373316966,2591.601034933929
beta_xfip[1],5080.898045431968,2267.556369734776
beta_o_swing[1],5194.2615491635715,2467.0510388332586
beta_xfip[2],5396.175762413325,2601.8882125684454
